priority,vertical,article_slug,article_url,ad_destination_type,conversion_landing,meta_campaign,meta_ad_copy_primary,meta_ad_copy_headline,budget_when_ready_eur_day,notes
1,vtc,vtc-premiere-course-checklist-assurance,https://www.leadsopportunities.fr/blog/vtc-premiere-course-checklist-assurance.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=vtc-premiere-course,blog_then_bridge,https://www.leadsopportunities.fr/landings/devis-rapide.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=bridge-devis-rapide,vtc_blog_convert,Première course VTC ? Vérifiez votre assurance avant Uber.,Checklist assurance VTC — devis en 30 sec,5,P1 étude marché — VTC meilleur CPL. Activer si organique OK.
2,vtc,assurance-vtc-moins-cher-2026,https://www.leadsopportunities.fr/blog/assurance-vtc-moins-cher-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=vtc-moins-cher-2026,blog_then_bridge,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=bridge-vtc-complet,vtc_blog_convert,Assurance VTC trop chère ? Comparez sans engagement.,Tarifs VTC 2026 — devis gratuit,5,Comparatif prix — bridge parcours VTC.
3,vtc,assurance-vtc-uber-bolt-heetch,https://www.leadsopportunities.fr/blog/assurance-vtc-uber-bolt-heetch.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=vtc-plateformes,blog_then_bridge,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=bridge-vtc-plateformes,vtc_blog_convert,Uber Bolt Heetch : votre assurance VTC est-elle valide ?,Devis VTC plateformes — ORIAS,5,Plateformes — intérêts chauffeur Meta.
4,vtc,vtc-idf-hub,https://www.leadsopportunities.fr/assurance-vtc/ile-de-france/?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_idf_convert&utm_content=hub-idf,direct_landing,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_idf_convert&utm_content=bridge-vtc-idf,vtc_idf_convert,Chauffeur VTC en Île-de-France ? Devis pro local.,Assurance VTC Île-de-France,5,P1 étude — densification IDF (~2/3 des chauffeurs).
4a,vtc,assurance-vtc-ile-de-france-paris-cdg-orly-2026,https://www.leadsopportunities.fr/blog/assurance-vtc-ile-de-france-paris-cdg-orly-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=vtc-idf-paris-cdg-orly,blog_then_bridge,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=bridge-vtc-idf-article,vtc_blog_convert,VTC Paris CDG Orly : assurance pro adaptée Île-de-France.,Devis VTC IDF — blog,5,Promo blog sept. 2026 — geo IDF.
4b,vtc,devis-assurance-vtc-rappel-15-min-courtier-orias,https://www.leadsopportunities.fr/blog/devis-assurance-vtc-rappel-15-min-courtier-orias.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=vtc-devis-15min,blog_then_bridge,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=bridge-vtc-devis,vtc_blog_convert,Devis assurance VTC en 15 min — courtier ORIAS.,Devis VTC gratuit — rappel,5,Promo conversion directe VTC.
4c,vtc,assurance-vtc-rentabilite-cout-mensuel-2026,https://www.leadsopportunities.fr/blog/assurance-vtc-rentabilite-cout-mensuel-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=vtc-cout-mensuel,blog_then_bridge,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=bridge-vtc-cout,vtc_blog_convert,Combien coûte vraiment votre assurance VTC chaque mois ?,Coût mensuel VTC — devis,5,Promo rentabilité chauffeur.
4d,vtc,assurance-vtc-vehicule-electrique-hybride-2026,https://www.leadsopportunities.fr/blog/assurance-vtc-vehicule-electrique-hybride-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=vtc-electrique,blog_then_bridge,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_blog_convert&utm_content=bridge-vtc-ev,vtc_blog_convert,VTC électrique ou hybride : votre assurance est-elle adaptée ?,VTC électrifié — devis,5,Promo VE / hybride.
4e,taxi,assurance-taxi-moins-cher-2026,https://www.leadsopportunities.fr/blog/assurance-taxi-moins-cher-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=taxi_blog_convert&utm_content=taxi-moins-cher-2026,blog_then_bridge,https://www.leadsopportunities.fr/landings/taxi.html?utm_source=meta&utm_medium=paid_social&utm_campaign=taxi_blog_convert&utm_content=bridge-taxi-tarif,taxi_blog_convert,Assurance taxi trop chère ? Comparez TPT et RC pro.,Tarifs taxi 2026 — devis gratuit,5,Silo taxi — intent prix.
4f,taxi,assurance-taxi-garanties-obligatoires-tpt-2026,https://www.leadsopportunities.fr/blog/assurance-taxi-garanties-obligatoires-tpt-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=taxi_blog_convert&utm_content=taxi-tpt,blog_then_bridge,https://www.leadsopportunities.fr/landings/taxi.html?utm_source=meta&utm_medium=paid_social&utm_campaign=taxi_blog_convert&utm_content=bridge-taxi-tpt,taxi_blog_convert,Taxi : votre attestation cite-t-elle bien le TPT ?,Garanties obligatoires taxi — devis,5,Socle légal TPT + RC pro.
4g,taxi,devis-assurance-taxi-rappel-15-min-courtier-orias,https://www.leadsopportunities.fr/blog/devis-assurance-taxi-rappel-15-min-courtier-orias.html?utm_source=meta&utm_medium=paid_social&utm_campaign=taxi_blog_convert&utm_content=taxi-devis-15min,blog_then_bridge,https://www.leadsopportunities.fr/landings/taxi.html?utm_source=meta&utm_medium=paid_social&utm_campaign=taxi_blog_convert&utm_content=bridge-taxi-devis,taxi_blog_convert,Devis assurance taxi en 15 min — courtier ORIAS.,Devis taxi gratuit — rappel,5,Conversion directe taxi.
5,sante,canicule-mutuelle-coup-chaleur-seniors-2026,https://www.leadsopportunities.fr/blog/canicule-mutuelle-coup-chaleur-seniors-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=canicule-seniors,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-canicule-seniors,sante_blog_convert,Canicule : seniors — hospitalisation et téléconsultation à vérifier.,Mutuelle canicule seniors — devis,5,P1 étude — article pivot override Meta.
6,sante,canicule-teleconsultation-medecin-mutuelle,https://www.leadsopportunities.fr/blog/canicule-teleconsultation-medecin-mutuelle.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=canicule-teleconsult,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-teleconsult,sante_blog_convert,Canicule : la téléconsultation est-elle remboursée ?,Téléconsultation mutuelle — devis,5,P1 — 3 articles canicule blog-convert.
7,sante,canicule-enfants-famille-mutuelle,https://www.leadsopportunities.fr/blog/canicule-enfants-famille-mutuelle.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=canicule-famille,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-famille,sante_blog_convert,Enfants et canicule : mutuelle famille à jour ?,Devis mutuelle famille,5,P1 — audience familles 28–55.
8,sante,canicule-vigilance-meteo-france-mutuelle,https://www.leadsopportunities.fr/blog/canicule-vigilance-meteo-france-mutuelle.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=canicule-vigilance,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-vigilance,sante_blog_convert,Alerte canicule : checklist mutuelle en 5 points.,Vigilance canicule — mutuelle,5,P1 — timing alerte Météo-France.
9,sante,inflation-mutuelle-hausse-2026,https://www.leadsopportunities.fr/blog/inflation-mutuelle-hausse-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=inflation-mutuelle,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-inflation,sante_blog_convert,Mutuelle qui augmente ? Comparez avant de renouveler.,Hausse mutuelle 2026 — économisez,5,Hausses tarifaires ~+4 % 2026 — intent comparatif.
10,sante,mutuelle-sante-5-criteres,https://www.leadsopportunities.fr/blog/mutuelle-sante-5-criteres.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=mutuelle-5-criteres,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-sante-complet,sante_blog_convert,5 critères pour choisir sa mutuelle sans se tromper.,Comparatif mutuelle — devis gratuit,5,Pilier mutuelle evergreen.
11,sante,questionnaire-mutuelle-quel-niveau-choisir,https://www.leadsopportunities.fr/blog/questionnaire-mutuelle-quel-niveau-choisir.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=questionnaire-niveau,blog_then_bridge,https://www.leadsopportunities.fr/landings/questionnaire.html?need=sante&utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-questionnaire,sante_blog_convert,Quel niveau de mutuelle choisir ? Test en 3 minutes.,Questionnaire mutuelle gratuit,5,Bridge direct questionnaire.
12,finance,assurance-emprunteur-loi-lemoine-2026,https://www.leadsopportunities.fr/blog/assurance-emprunteur-loi-lemoine-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=lemoine-2026,blog_then_bridge,https://www.leadsopportunities.fr/landings/credit-immo.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=bridge-credit-immo,credit_blog_convert,Loi Lemoine : économisez sur votre assurance emprunteur.,Étude emprunteur gratuite,5,P2 — semaine 4 rotation Meta.
13,finance,pret-immo-erreurs-a-eviter,https://www.leadsopportunities.fr/blog/pret-immo-erreurs-a-eviter.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=pret-erreurs,blog_then_bridge,https://www.leadsopportunities.fr/landings/projection-achat.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=bridge-projection,credit_blog_convert,Prêt immo : les erreurs qui coûtent cher avant la banque.,Projection achat + crédit,5,Tunnel bien→projection→crédit.
14,habitat,assurance-habitation-locataire-proprietaire-2026,https://www.leadsopportunities.fr/blog/assurance-habitation-locataire-proprietaire-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=habitation_blog_convert&utm_content=locataire-proprio,blog_then_bridge,https://www.leadsopportunities.fr/landings/devis.html?need=habitation&utm_source=meta&utm_medium=paid_social&utm_campaign=habitation_blog_convert&utm_content=bridge-habitation,habitation_blog_convert,Locataire ou proprio : votre MRH est-elle adaptée ?,Devis habitation — 3 minutes,5,Après VTC+mutuelle+crédit.
15,auto,assurance-auto-jeune-conducteur-2026,https://www.leadsopportunities.fr/blog/assurance-auto-jeune-conducteur-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=auto_blog_convert&utm_content=jeune-conducteur,blog_then_bridge,https://www.leadsopportunities.fr/landings/devis.html?need=auto&utm_source=meta&utm_medium=paid_social&utm_campaign=auto_blog_convert&utm_content=bridge-auto,auto_blog_convert,Jeune conducteur : payez-vous trop cher votre auto ?,Devis auto jeune conducteur,5,Volume Search — Meta tiède.
16,sante,mutuelle-remboursement-optique-dentaire-2026,https://www.leadsopportunities.fr/blog/mutuelle-remboursement-optique-dentaire-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=optique-dentaire,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sante_blog_convert&utm_content=bridge-optique-dentaire,sante_blog_convert,Optique et dentaire mal remboursés ? Comparez.,Mutuelle optique dentaire — devis,5,Postes fort volume recherche.
17,vtc,assurance-vtc-creation-chauffeur,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_direct_convert&utm_content=creation-chauffeur,direct_landing,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=vtc_direct_convert&utm_content=creation-chauffeur,vtc_direct_convert,Nouveau chauffeur VTC ? Devis assurance pro.,Création VTC — devis ORIAS,5,Intent chaud — PAS article blog.
18,sante,rappel-express,https://www.leadsopportunities.fr/landings/rappel.html?utm_source=meta&utm_medium=paid_social&utm_campaign=retarget_rappel&utm_content=abandon-form,direct_landing,https://www.leadsopportunities.fr/landings/rappel.html?utm_source=meta&utm_medium=paid_social&utm_campaign=retarget_rappel&utm_content=abandon-form,retarget_rappel,Un conseiller vous rappelle — email + téléphone.,Rappel gratuit sous 15 min,3,Retargeting JourneyFormStart sans Lead — meilleur ROI.
19,habitat,incendies-gironde-feux-foret,https://www.leadsopportunities.fr/blog/incendies-gironde-feux-foret-assurance-habitation-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=habitat_blog_convert&utm_content=incendies-gironde,blog_then_bridge,https://www.leadsopportunities.fr/landings/devis.html?need=habitation&utm_source=meta&utm_medium=paid_social&utm_campaign=habitat_blog_convert&utm_content=bridge-habitation,habitat_blog_convert,Gironde : feux de forêt — votre habitation est-elle à jour ?,Incendies Gironde — devis habitation,5,Actu climat P3 niches — feu de forêt.
20,habitat,restriction-eau-secheresse,https://www.leadsopportunities.fr/blog/restriction-eau-secheresse-gironde-assurance-habitation.html?utm_source=meta&utm_medium=paid_social&utm_campaign=habitat_blog_convert&utm_content=restriction-eau,blog_then_bridge,https://www.leadsopportunities.fr/landings/devis.html?need=habitation&utm_source=meta&utm_medium=paid_social&utm_campaign=habitat_blog_convert&utm_content=bridge-secheresse,habitat_blog_convert,Restrictions d eau : fissures et sécheresse — vérifiez votre MRH.,Sécheresse — devis habitation,5,Actu restrictions eau Gironde.
21,actu,presidentielle-2027-checklist,https://www.leadsopportunities.fr/blog/presidentielle-2027-checklist-assurances-foyer.html?utm_source=meta&utm_medium=paid_social&utm_campaign=actu_blog_convert&utm_content=presidentielle-checklist,blog_then_bridge,https://www.leadsopportunities.fr/landings/questionnaire.html?utm_source=meta&utm_medium=paid_social&utm_campaign=actu_blog_convert&utm_content=bridge-questionnaire,actu_blog_convert,Présidentielle 2027 : 12 points assurance à vérifier maintenant.,Checklist assurances foyer,5,Présidentielle — multi-besoins.
22,chasse,assurance-chasse-rc-chasseur,https://www.leadsopportunities.fr/blog/assurance-chasse-rc-chasseur-guide-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=chasse_blog_convert&utm_content=rc-chasseur,blog_then_bridge,https://www.leadsopportunities.fr/landings/chasse.html?utm_source=meta&utm_medium=paid_social&utm_campaign=chasse_blog_convert&utm_content=bridge-chasse,chasse_blog_convert,RC chasseur à jour pour la saison ?,Devis assurance chasse,5,Niche CPC bas — chasse.
23,equitation,assurance-equitation-rc-equestre,https://www.leadsopportunities.fr/blog/assurance-equitation-rc-equestre-guide-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=equitation_blog_convert&utm_content=rc-equestre,blog_then_bridge,https://www.leadsopportunities.fr/landings/equitation.html?utm_source=meta&utm_medium=paid_social&utm_campaign=equitation_blog_convert&utm_content=bridge-equitation,equitation_blog_convert,RC équestre : votre pratique est-elle couverte ?,Devis équitation,5,Niche CPC bas — équitation.
24,finance,pret-immobilier-refuse,https://www.leadsopportunities.fr/blog/pret-immobilier-refuse-que-faire-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=pret-refuse,blog_then_bridge,https://www.leadsopportunities.fr/landings/credit-immo.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=bridge-pret-refuse,credit_blog_convert,Prêt immobilier refusé ? On cherche une 2e chance multi-banques.,Prêt refusé — étude gratuite,5,Intent chaud refus banque.
25,finance,pret-refuse-endettement-35,https://www.leadsopportunities.fr/blog/pret-refuse-endettement-35-hcsf-solutions.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=endettement-35,blog_then_bridge,https://www.leadsopportunities.fr/landings/credit-immo.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=bridge-endettement,credit_blog_convert,Refus pour endettement 35 % ? On recalcule le dossier.,Endettement HCSF — solutions,5,HCSF 35 %.
26,finance,pret-refuse-courtier-2e-chance,https://www.leadsopportunities.fr/blog/pret-refuse-courtier-multibanque-deuxieme-chance.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=courtier-2e,blog_then_bridge,https://www.leadsopportunities.fr/landings/credit-immo.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=bridge-courtier,credit_blog_convert,Votre banque a dit non — un courtier peut présenter ailleurs.,Courtier 2e chance crédit,5,Multi-banques.
27,finance,heritiers-desaccord-prix,https://www.leadsopportunities.fr/blog/heritiers-pas-daccord-prix-vente-maison-que-faire.html?utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=heritiers,blog_then_bridge,https://www.leadsopportunities.fr/landings/acheteur-immo.html?role=vendeur&utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=bridge-heritiers,immo_blog_convert,Héritiers pas d'accord sur le prix ? Ne bradez pas.,Succession à vendre — parler à un conseiller,5,Longue traîne vendeur chaud.
28,finance,dpe-g-vendre,https://www.leadsopportunities.fr/blog/passoire-energetique-dpe-g-vendre-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=dpe-g,blog_then_bridge,https://www.leadsopportunities.fr/landings/acheteur-immo.html?role=vendeur&utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=bridge-dpe,immo_blog_convert,DPE G : vendre sans panique en 2026.,Passoire énergétique — estimation,5,Volume Search actu climat.
29,finance,taux-aout-2026,https://www.leadsopportunities.fr/blog/taux-pret-immobilier-aout-2026-rentree.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=taux-aout,blog_then_bridge,https://www.leadsopportunities.fr/landings/projection-achat.html?utm_source=meta&utm_medium=paid_social&utm_campaign=credit_blog_convert&utm_content=bridge-projection-taux,credit_blog_convert,Taux août 2026 : votre capacité réelle ?,Projection achat gratuite,5,Rentrée — intent taux.
30,finance,chasseur-signalement,https://www.leadsopportunities.fr/blog/signalement-maison-a-vendre-chasseur-bien-prime.html?utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=chasseur,blog_then_bridge,https://www.leadsopportunities.fr/landings/chasseur-bien.html?utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=bridge-chasseur,immo_blog_convert,Panneau À vendre ? Signalez au chasseur.,Signalement terrain — photo + ville,5,Niche signalement.
31,finance,terrain-nancy-54,https://www.leadsopportunities.fr/blog/acheter-terrain-nancy-metropole-54-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=terrain-54,blog_then_bridge,https://www.leadsopportunities.fr/landings/chasseur-bien.html?utm_source=meta&utm_medium=paid_social&utm_campaign=immo_blog_convert&utm_content=bridge-terrain-nancy,immo_blog_convert,Terrain Nancy 54 : hors annonces en ligne.,Chasseur terrain Grand Nancy,5,Local P1 bassin Nancy.
32,vsp,citadine-urbaine-direct,https://www.leadsopportunities.fr/landings/devis.html?need=vsp&utm_source=meta&utm_medium=paid_social&utm_campaign=meta_citadine_urbaine&utm_content=direct-devis,direct_landing,https://www.leadsopportunities.fr/landings/devis.html?need=vsp&utm_source=meta&utm_medium=paid_social&utm_campaign=meta_citadine_urbaine&utm_content=direct-devis,meta_citadine_urbaine,Petite citadine : bien assuree ?,Vehicule leger en ville — devis express,1,Copy DISCRETE — ne jamais dire VSP/sans permis/BSR/Aixam. Campagne ads/meta-vsp-discret.csv. Search Google = docs/GOOGLE-VSP-PUB.md.
33,collective,mutuelle-collective-ani,https://www.leadsopportunities.fr/blog/mutuelle-collective-obligations-employeur-ani.html?utm_source=meta&utm_medium=paid_social&utm_campaign=collective_blog_convert&utm_content=ani,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante-collective.html?utm_source=meta&utm_medium=paid_social&utm_campaign=collective_blog_convert&utm_content=bridge-ani,collective_blog_convert,Mutuelle collective obligatoire ? Vérifiez votre conformité ANI.,Devis mutuelle entreprise — ORIAS,5,B2B employeur — ANI.
34,collective,mutuelle-collective-pme,https://www.leadsopportunities.fr/blog/mutuelle-collective-pme-tpe-budget-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=collective_blog_convert&utm_content=pme-budget,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante-collective.html?utm_source=meta&utm_medium=paid_social&utm_campaign=collective_blog_convert&utm_content=bridge-pme,collective_blog_convert,PME / TPE : combien coûte vraiment votre mutuelle collective ?,Budget mutuelle entreprise 2026,5,Budget B2B.
35,collective,mutuelle-collective-due,https://www.leadsopportunities.fr/blog/mutuelle-collective-mise-en-place-due-portabilite.html?utm_source=meta&utm_medium=paid_social&utm_campaign=collective_blog_convert&utm_content=due,blog_then_bridge,https://www.leadsopportunities.fr/landings/sante-collective.html?utm_source=meta&utm_medium=paid_social&utm_campaign=collective_blog_convert&utm_content=bridge-due,collective_blog_convert,Mettre en place une mutuelle : DUE et portabilité sans stress.,Accompagnement DUE — devis,5,Mise en place.
