id,vertical,budget_eur_day,form_id,form_template,age_min,age_max,headline,primary_text,cta,utm_campaign,landing_url,article_url,geo,optimize_event
auto_tarifs_comparer,auto,5,,auto_express,23,65,"Assurance auto trop chère ? Comparez","Tarifs de fou en 2026 — on aligne les garanties et on fait baisser la prime. Devis gratuit, sans engagement.",Comparer mon auto,meta_auto_tarifs_convert,https://www.leadsopportunities.fr/landings/devis.html?need=auto&utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_tarifs_convert,https://www.leadsopportunities.fr/blog/assurance-auto-tarifs-fous-comparer-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_tarifs_convert,France,Lead
auto_hamon_resilier,auto,4,,auto_express,25,60,"Résiliez et payez moins cher","Loi Hamon : changez d'assurance auto après 1 an. Comparatif d'abord, résiliation propre ensuite.",Changer d'auto,meta_auto_hamon_convert,https://www.leadsopportunities.fr/landings/questionnaire.html?need=auto&journey=standard&utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_hamon_convert,https://www.leadsopportunities.fr/blog/assurance-auto-resilier-comparer-hamon-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_hamon_convert,France,Lead
auto_tous_risques_tiers,auto,3,,auto_express,25,62,"Tous risques ou au tiers ?","Ne payez pas trop — ni trop peu. On choisit la formule selon l'âge et la valeur du véhicule.",Devis formule auto,meta_auto_formule_convert,https://www.leadsopportunities.fr/landings/devis.html?need=auto&utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_formule_convert,https://www.leadsopportunities.fr/blog/assurance-auto-tous-risques-ou-tiers-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_formule_convert,France,Lead
auto_malus_rappel,auto,3,,auto_express,22,55,"Malus auto ? On trouve une solution","Sinistre ou coefficient élevé — devis spécialisés. Rappel courtier ORIAS sous 15 min.",Rappel auto,meta_auto_malus_convert,https://www.leadsopportunities.fr/landings/rappel.html?need=auto&utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_malus_convert,https://www.leadsopportunities.fr/blog/assurance-auto-malus-sinistre-que-faire-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_malus_convert,France,Lead
auto_jeune_conducteur,auto,3,,auto_express,18,30,"Jeune conducteur : stop aux primes folles","Permis récent ? Comparez avant de signer. Astuces véhicule + bonus.",Devis jeune conducteur,meta_auto_jeune_convert,https://www.leadsopportunities.fr/landings/devis.html?need=auto&utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_jeune_convert,https://www.leadsopportunities.fr/blog/assurance-auto-jeune-conducteur-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_auto_jeune_convert,France,Lead
vtc_p1_charges,vtc,1,4578422069056454,vtc_express,25,58,"VTC : baissez vos charges assurance","Chauffeurs VTC / auto-entrepreneurs — comparez RC pro + véhicule en 30 secondes. Devis confidentiel, sans engagement.",Devis VTC gratuit,meta_vtc_p1_convert,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_vtc_p1_convert,https://www.leadsopportunities.fr/blog/assurance-vtc-moins-cher-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_vtc_p1_convert,France,Lead
vtc_p1_premiere,vtc,1,4578422069056454,vtc_express,22,45,"1ère course VTC ? Assurez-vous correctement","Checklist assurance avant de démarrer — RC pro, véhicule, franchise. Devis express en 30 s.",Devis VTC,meta_vtc_p1_premiere,https://www.leadsopportunities.fr/landings/vtc.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_vtc_p1_premiere,https://www.leadsopportunities.fr/blog/vtc-premiere-course-checklist-assurance.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_vtc_p1_premiere,France,Lead
sante_p1_comparatif,sante,1,1503493211458105,sante_express,35,70,"Mutuelle santé : comparez en 3 min","Hospitalisation, optique, téléconsultation — devis mutuelle express sans engagement.",Comparer ma mutuelle,meta_sante_p1_convert,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_sante_p1_convert,https://www.leadsopportunities.fr/blog/mutuelle-sante-5-criteres.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_sante_p1_convert,France,Lead
sante_p1_canicule,sante,1,1503493211458105,sante_express,50,75,"Canicule : votre mutuelle couvre-t-elle les urgences ?","Chaleur extrême — seniors : vérifiez hospitalisation et téléconsultation. Devis en 3 min.",Comparer ma mutuelle,meta_sante_p1_canicule,https://www.leadsopportunities.fr/landings/sante.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_sante_p1_canicule,https://www.leadsopportunities.fr/blog/canicule-mutuelle-coup-chaleur-seniors-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_sante_p1_canicule,France,Lead
pret_p1_etude,credit_immo,1,1784137922966688,credit_immo_express,28,58,"Prêt immobilier : étude gratuite","Projet d'achat ou renégociation ? Capacité d'emprunt + assurance emprunteur — un courtier vous rappelle.",Étude prêt gratuite,meta_pret_immo_p1_convert,https://www.leadsopportunities.fr/landings/credit-immo.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_pret_immo_p1_convert,https://www.leadsopportunities.fr/blog/assurance-emprunteur-loi-lemoine-2026.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_pret_immo_p1_convert,France,Lead
pret_p1_capacite,credit_immo,1,1784137922966688,credit_immo_express,28,55,"Combien puis-je emprunter ?","Simulation capacité d'emprunt + options assurance. Étude gratuite, sans changer de banque.",Simuler mon prêt,meta_pret_immo_p1_capacite,https://www.leadsopportunities.fr/landings/credit-immo.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_pret_immo_p1_capacite,https://www.leadsopportunities.fr/landings/projection-achat.html?utm_source=meta&utm_medium=paid_social&utm_campaign=meta_pret_immo_p1_capacite,France,Lead
