Type,Campaign,Ad Group,Keyword,Criterion Type,Match Type,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2,Status,Location
Campaign,FR_Search_Nancy54_Local,,,,,,,,,,,,,Enabled,"Nancy, France"
Campaign,FR_Search_Nancy54_Local,,,,,,,,,,,,,Enabled,"Meurthe-et-Moselle, France"
Ad Group,FR_Search_Nancy54_Local,assurance_local,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,mutuelle_local,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,immo_vendre_acheter,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,pret_credit_immo,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,courtier_local,,,,,,,,,,,,Enabled,
Keyword,FR_Search_Nancy54_Local,assurance_local,"assurance Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/nancy-54/,nancy,assurance,Enabled,
Keyword,FR_Search_Nancy54_Local,assurance_local,"assurance Varangéville",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/agence-varangeville/,varangeville,assurance,Enabled,
Keyword,FR_Search_Nancy54_Local,assurance_local,"assurance Saint-Nicolas-de-Port",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/agence-varangeville/,snp,assurance,Enabled,
Keyword,FR_Search_Nancy54_Local,assurance_local,[courtier assurance Nancy],Keyword,Exact,,,,,,,https://www.leadsopportunities.fr/nancy-54/,courtier,assurance,Enabled,
Keyword,FR_Search_Nancy54_Local,mutuelle_local,"mutuelle Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/sante.html,mutuelle,nancy,Enabled,
Keyword,FR_Search_Nancy54_Local,mutuelle_local,"mutuelle Varangéville",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/assurance-sante/varangeville/,mutuelle,varangeville,Enabled,
Keyword,FR_Search_Nancy54_Local,mutuelle_local,"mutuelle pas cher Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/sante.html,mutuelle,pascher,Enabled,
Keyword,FR_Search_Nancy54_Local,mutuelle_local,[devis mutuelle Nancy],Keyword,Exact,,,,,,,https://www.leadsopportunities.fr/landings/sante.html,devis,mutuelle,Enabled,
Keyword,FR_Search_Nancy54_Local,immo_vendre_acheter,"maison à vendre Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/questionnaire.html?need=vendeur,maison,vendre,Enabled,
Keyword,FR_Search_Nancy54_Local,immo_vendre_acheter,"appartement à vendre Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/questionnaire.html?need=vendeur,appart,vendre,Enabled,
Keyword,FR_Search_Nancy54_Local,immo_vendre_acheter,"appartement pas cher Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/acheteur-immo.html,appart,pascher,Enabled,
Keyword,FR_Search_Nancy54_Local,immo_vendre_acheter,"maison à acheter Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/acheteur-immo.html,maison,acheter,Enabled,
Keyword,FR_Search_Nancy54_Local,immo_vendre_acheter,"immobilier Varangéville",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/recherche-bien/nancy/,immo,varangeville,Enabled,
Keyword,FR_Search_Nancy54_Local,pret_credit_immo,"prêt immobilier Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/credit-immo.html,pret,nancy,Enabled,
Keyword,FR_Search_Nancy54_Local,pret_credit_immo,"crédit immobilier Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/credit-immo.html,credit,nancy,Enabled,
Keyword,FR_Search_Nancy54_Local,pret_credit_immo,"crédit immobilier Varangéville",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/credit-immo/varangeville/,credit,varangeville,Enabled,
